guest_id,loyalty_status,prior_stays,stay_nights,occupancy_rate,checkin_hour,special_event,direct_booking,booked_room,total_spend_eur,upgrade
G0033,None,0,4,70.1,20,No,Yes,Standard,451.1,0
G0034,Platinum,11,2,56.2,18,Yes,Yes,Standard,460.3,1
G0035,None,0,1,35.0,20,No,Yes,Standard,256.3,1
G0036,None,1,3,69.7,15,No,Yes,Deluxe,524.5,0
G0037,Gold,2,4,87.2,15,No,Yes,Standard,670.3,0
G0038,Gold,2,3,66.3,17,Yes,No,Deluxe,699.1,0
G0039,None,1,8,72.5,15,No,No,Standard,812.4,0
G0040,None,0,5,55.1,18,Yes,No,Deluxe,797.8,0
G0041,None,2,2,70.9,20,No,Yes,Deluxe,465.5,0
G0042,None,1,1,75.0,22,No,No,Standard,173.5,0
G0043,Gold,7,5,91.7,21,No,Yes,Deluxe,871.6,0
G0044,None,1,4,77.5,21,No,No,Deluxe,864.8,0
G0045,Silver,2,4,71.8,18,No,Yes,Deluxe,757.1,0
G0046,None,0,5,61.1,13,No,Yes,Deluxe,635.8,0
G0047,None,2,4,68.2,16,Yes,No,Deluxe,804.8,0
G0048,Platinum,9,1,71.1,17,No,Yes,Standard,295.9,1
G0049,None,0,3,70.9,12,Yes,Yes,Standard,446.0,0
G0050,None,0,3,57.5,15,No,Yes,Deluxe,453.6,0
G0051,None,0,2,75.3,13,No,Yes,Deluxe,322.6,0
G0052,Silver,3,6,88.5,17,No,Yes,Standard,974.9,0
G0053,Silver,3,5,78.8,12,No,Yes,Deluxe,753.1,0
G0054,Silver,2,4,57.4,15,No,Yes,Standard,461.4,1
G0055,Silver,4,5,71.6,20,No,Yes,Standard,973.9,1
G0056,Gold,3,4,62.5,18,No,Yes,Deluxe,695.0,0
G0057,None,1,2,69.9,14,No,No,Standard,262.1,0
G0058,Silver,0,4,56.8,15,No,No,Standard,535.3,0
G0059,Silver,5,2,89.9,16,No,Yes,Standard,468.6,0
G0060,Silver,0,2,79.2,13,No,Yes,Standard,226.5,0
G0061,Gold,9,3,94.2,18,No,Yes,Standard,678.0,1
G0062,Gold,7,2,78.2,17,No,No,Standard,620.1,1
G0063,None,1,5,91.2,21,Yes,Yes,Deluxe,645.6,0
G0064,Silver,1,4,81.7,16,No,No,Deluxe,357.7,0
G0065,Silver,1,4,72.2,15,No,Yes,Deluxe,471.4,0
G0066,None,1,1,96.0,23,No,No,Standard,85.6,0
G0067,None,1,6,82.0,18,Yes,No,Standard,852.8,0
G0068,Gold,3,3,53.1,12,No,No,Deluxe,580.3,1
G0069,Gold,5,2,76.6,21,No,Yes,Standard,374.5,1
G0070,None,1,2,77.0,16,No,Yes,Standard,104.2,1
G0071,None,0,3,84.5,18,No,Yes,Deluxe,623.2,0
G0072,None,0,2,95.5,14,Yes,Yes,Standard,255.6,0
G0073,None,0,3,46.6,13,No,Yes,Standard,281.9,0
G0074,None,0,3,80.0,16,Yes,No,Deluxe,536.8,0
G0075,None,2,8,85.4,14,No,Yes,Standard,700.3,0
G0076,None,1,4,65.2,14,No,Yes,Standard,532.2,0
G0077,Platinum,17,4,76.6,13,No,No,Deluxe,1308.1,1
G0078,None,1,2,68.8,17,No,No,Standard,239.8,0
G0079,None,1,1,56.6,19,No,Yes,Standard,362.6,0
G0080,None,1,2,66.4,20,Yes,No,Deluxe,616.9,0
G0081,None,0,2,84.0,16,No,Yes,Standard,314.5,1
G0082,None,0,1,64.3,15,No,No,Standard,207.9,0
G0083,None,0,3,81.4,15,No,Yes,Standard,256.1,0
G0084,None,2,3,100.0,19,No,No,Standard,362.4,0
G0085,None,0,4,66.6,21,No,Yes,Deluxe,465.7,1
G0086,None,0,1,73.1,13,Yes,Yes,Standard,60.0,0
G0087,Silver,2,2,95.5,15,Yes,No,Deluxe,518.9,0
G0088,Silver,1,2,78.7,17,No,No,Standard,158.3,0
G0089,Gold,4,2,83.0,17,Yes,Yes,Deluxe,398.0,0
G0090,Platinum,10,2,44.5,13,No,No,Standard,731.9,1
G0091,Gold,7,1,98.0,16,No,Yes,Standard,483.1,0
G0092,None,1,4,82.3,15,No,Yes,Deluxe,776.3,0
G0093,None,1,2,83.7,11,No,Yes,Deluxe,112.9,0
G0094,Silver,1,3,100.0,18,No,No,Deluxe,481.1,0
G0095,None,1,5,94.3,12,Yes,Yes,Deluxe,601.9,0
G0096,Gold,9,2,68.8,18,No,No,Standard,589.8,0
G0097,Platinum,6,3,100.0,11,No,Yes,Deluxe,720.4,0
G0098,None,0,2,66.3,19,No,Yes,Deluxe,509.3,0
G0099,None,0,4,75.5,18,No,Yes,Deluxe,472.8,0
G0100,Silver,3,2,81.6,21,Yes,No,Standard,371.8,0
G0101,Silver,3,3,77.1,21,No,No,Deluxe,464.0,0
G0102,Platinum,15,3,100.0,19,No,Yes,Standard,1038.6,0
G0103,None,2,5,100.0,12,Yes,Yes,Standard,756.9,0
G0104,None,0,3,77.7,17,No,No,Deluxe,413.7,0
G0105,Gold,3,3,79.9,13,No,Yes,Standard,535.1,0
G0106,None,0,5,66.0,18,Yes,Yes,Standard,539.8,0
G0107,Silver,0,3,77.1,13,Yes,Yes,Standard,269.3,0
G0108,None,1,2,61.4,13,No,Yes,Standard,119.1,0
G0109,None,0,2,84.7,15,No,Yes,Deluxe,223.8,0
G0110,Platinum,6,3,68.0,12,No,Yes,Standard,483.4,1
G0111,None,1,2,62.9,21,No,Yes,Standard,241.8,1
G0112,Gold,5,2,67.1,17,No,No,Standard,438.3,0
G0113,None,0,3,73.9,19,No,Yes,Standard,326.0,0
G0114,Gold,7,2,70.1,22,No,No,Deluxe,616.5,0
G0115,None,0,2,76.4,18,No,No,Deluxe,351.6,0
G0116,Platinum,7,5,75.4,15,No,No,Standard,855.8,1
G0117,None,1,2,68.2,21,Yes,Yes,Deluxe,460.4,0
G0118,None,1,5,80.3,18,No,No,Standard,597.4,0
G0119,Silver,5,3,86.2,19,No,No,Standard,487.3,0
G0120,None,1,3,86.3,16,Yes,Yes,Standard,818.1,0
G0121,Silver,3,5,70.8,15,No,No,Deluxe,773.0,0
G0122,Gold,4,2,71.4,19,No,No,Deluxe,557.7,0
G0123,Silver,1,2,63.8,22,Yes,Yes,Deluxe,463.8,0
G0124,Gold,7,3,79.2,19,No,Yes,Standard,722.2,0
G0125,Platinum,12,2,75.8,19,No,No,Standard,698.1,0
G0126,None,0,2,77.7,13,No,No,Standard,316.0,0
G0127,None,1,1,90.0,16,Yes,No,Standard,204.1,0
G0128,None,1,3,80.5,20,No,No,Standard,419.2,0
G0129,None,0,4,78.8,15,No,No,Standard,448.3,0
G0130,Silver,3,5,65.6,17,Yes,Yes,Standard,882.3,0
G0131,Gold,6,3,69.6,18,Yes,Yes,Standard,569.8,1
G0132,None,0,4,79.5,16,No,No,Standard,225.1,0
G0133,None,0,2,92.2,22,No,No,Deluxe,236.1,0
G0134,Gold,8,3,90.2,18,Yes,No,Standard,637.2,1
G0135,None,4,2,53.8,17,No,Yes,Standard,222.0,0
G0136,Gold,7,4,43.3,16,No,Yes,Standard,668.5,1
G0137,Gold,8,3,68.8,17,No,No,Standard,580.5,0
G0138,Gold,6,3,99.6,12,No,Yes,Standard,606.1,1
G0139,None,2,5,73.7,20,No,Yes,Deluxe,806.5,0
G0140,Platinum,7,5,73.2,18,No,No,Deluxe,799.8,0
G0141,Platinum,6,2,79.7,18,No,Yes,Standard,503.8,0
G0142,None,1,1,63.6,19,No,No,Standard,160.5,0
G0143,None,1,4,88.5,20,No,Yes,Standard,362.7,0
G0144,None,0,3,76.3,17,No,Yes,Standard,540.8,1
G0145,Gold,4,2,59.9,14,No,No,Deluxe,337.7,0
G0146,None,0,4,57.9,17,No,No,Deluxe,630.5,0
G0147,Silver,1,5,72.9,15,Yes,Yes,Standard,621.5,0
G0148,Silver,3,6,87.8,15,No,Yes,Standard,727.3,0
G0149,None,0,2,96.1,21,No,No,Standard,172.8,0
G0150,None,0,3,81.5,14,Yes,Yes,Standard,327.7,0
G0151,Silver,1,2,59.4,15,Yes,Yes,Standard,136.2,1
G0152,Gold,5,2,84.1,16,No,Yes,Standard,439.1,1
G0153,None,1,2,78.4,21,No,Yes,Standard,200.1,0
G0154,None,1,2,92.5,20,No,No,Standard,256.3,0
G0155,Gold,5,4,60.1,15,No,No,Standard,458.3,1
G0156,Silver,1,3,79.1,21,No,Yes,Standard,326.9,0
G0157,None,1,2,84.7,19,No,Yes,Deluxe,412.5,0
G0158,Silver,1,3,58.4,15,No,No,Standard,440.8,1
G0159,None,0,7,61.6,17,No,Yes,Standard,750.6,0
G0160,Silver,0,5,56.8,15,No,Yes,Deluxe,658.4,1
G0161,Platinum,7,4,73.4,18,No,Yes,Standard,779.3,0
G0162,None,0,4,81.3,16,No,No,Standard,582.1,0
G0163,None,0,5,80.4,20,No,Yes,Standard,471.0,0
G0164,None,2,1,83.7,18,No,Yes,Standard,134.0,0
G0165,Silver,1,2,78.5,16,No,Yes,Standard,60.0,1
G0166,Silver,2,2,74.2,22,Yes,Yes,Standard,245.2,0
G0167,Gold,7,2,85.4,18,No,Yes,Standard,444.3,0
G0168,Silver,0,5,82.1,19,No,Yes,Standard,82.1,1
G0169,None,0,2,94.4,13,No,Yes,Standard,60.0,0
G0170,None,0,1,75.0,17,No,No,Standard,147.8,0
G0171,Gold,2,2,69.9,19,No,No,Deluxe,678.1,0
G0172,None,1,4,57.9,16,No,Yes,Standard,630.7,1
G0173,Silver,3,1,88.2,16,No,Yes,Standard,116.3,0
G0174,Gold,6,4,56.0,15,Yes,Yes,Standard,530.5,1
G0175,None,2,6,76.9,16,No,Yes,Deluxe,743.8,0
G0176,None,1,5,74.1,18,No,No,Standard,659.7,0
G0177,Gold,7,3,95.5,17,No,Yes,Standard,688.3,1
G0178,Silver,2,8,97.9,19,No,Yes,Deluxe,1441.8,0
G0179,None,3,2,83.4,17,No,Yes,Standard,439.8,0
G0180,Gold,3,4,70.6,17,No,No,Deluxe,462.6,0
G0181,None,2,3,77.3,18,Yes,Yes,Standard,444.5,0
G0182,Gold,4,1,85.1,22,No,Yes,Standard,317.4,0
G0183,None,0,2,76.9,17,No,Yes,Standard,262.0,0
G0184,Gold,6,1,71.8,20,No,Yes,Standard,172.8,0
G0185,None,1,2,83.3,19,No,Yes,Standard,60.0,0
G0186,Platinum,15,2,70.8,16,Yes,Yes,Standard,815.1,1
G0187,Silver,2,1,77.0,17,No,Yes,Deluxe,467.1,0
G0188,Silver,1,6,78.8,23,Yes,No,Deluxe,810.3,0
G0189,Silver,1,4,87.4,20,No,No,Standard,434.7,1
G0190,Gold,6,3,77.9,16,No,No,Standard,500.4,1
G0191,None,1,2,65.7,12,No,Yes,Standard,202.9,0
G0192,None,2,1,77.1,15,No,Yes,Standard,186.1,0
G0193,None,0,2,78.0,18,No,Yes,Standard,300.8,0
G0194,Gold,5,3,60.4,19,No,Yes,Standard,353.4,0
G0195,Gold,5,2,62.6,15,No,No,Standard,558.4,1
G0196,None,0,2,89.0,18,No,No,Standard,78.8,0
G0197,None,1,2,79.5,19,No,Yes,Standard,274.0,1
G0198,None,0,3,100.0,16,No,Yes,Standard,400.2,0
G0199,Gold,5,5,62.7,17,Yes,Yes,Deluxe,905.0,0
G0200,None,0,2,64.2,19,No,No,Deluxe,299.9,0
G0201,Silver,1,3,88.0,21,No,Yes,Standard,433.7,0
G0202,Silver,1,4,61.1,17,No,Yes,Standard,407.2,0
G0203,Silver,1,3,61.1,18,No,Yes,Deluxe,681.8,0
G0204,Gold,5,3,77.9,16,Yes,Yes,Deluxe,533.3,1
G0205,Silver,3,2,70.6,18,No,Yes,Standard,481.1,0
G0206,Platinum,14,3,97.1,19,No,Yes,Standard,848.2,0
G0207,None,1,3,87.4,12,No,No,Standard,489.5,0
G0208,Silver,1,4,70.7,13,No,Yes,Deluxe,606.2,0
G0209,None,1,3,64.4,17,Yes,Yes,Deluxe,377.5,0
G0210,None,0,3,73.3,13,Yes,Yes,Standard,326.8,0
G0211,None,2,2,100.0,23,No,Yes,Standard,307.9,0
G0212,Silver,3,1,58.9,16,No,Yes,Standard,269.0,0
G0213,None,0,2,89.9,17,Yes,Yes,Deluxe,304.0,0
G0214,None,0,4,65.5,19,Yes,Yes,Standard,357.7,0
G0215,Silver,0,2,65.4,21,No,No,Standard,225.6,0
G0216,Silver,3,1,65.1,16,No,Yes,Standard,246.3,1
G0217,Silver,5,4,78.9,13,Yes,Yes,Standard,514.1,1
G0218,Silver,4,3,86.0,13,No,Yes,Standard,545.0,0
G0219,Silver,2,3,75.2,17,No,Yes,Deluxe,671.8,1
G0220,Gold,2,2,81.5,14,No,Yes,Standard,392.8,0
G0221,Silver,3,2,87.9,20,No,No,Deluxe,536.4,0
G0222,None,1,4,85.4,16,No,Yes,Standard,666.9,0
G0223,None,0,4,79.5,19,No,Yes,Standard,200.9,0
G0224,None,1,2,78.6,16,No,Yes,Standard,226.7,0
G0225,None,0,3,65.7,18,No,No,Standard,271.2,0
G0226,None,1,4,77.0,13,No,Yes,Standard,566.6,0
G0227,None,0,5,73.2,16,No,No,Standard,575.1,0
G0228,None,1,3,82.1,22,No,Yes,Deluxe,665.7,0
G0229,None,0,5,72.8,20,No,No,Standard,648.3,0
G0230,Silver,0,1,65.6,11,No,No,Standard,136.7,1
G0231,None,0,3,68.5,19,No,No,Standard,342.5,0
G0232,None,1,1,89.4,18,No,Yes,Standard,83.8,0
G0233,None,1,5,81.8,14,No,No,Standard,862.5,0
G0234,Gold,7,3,65.7,14,No,Yes,Deluxe,893.8,1
G0235,None,1,4,67.3,18,No,Yes,Deluxe,699.1,1
G0236,Silver,2,3,100.0,12,No,No,Deluxe,660.8,1
G0237,Silver,1,3,86.0,18,No,Yes,Deluxe,579.4,1
G0238,None,1,2,86.0,17,No,Yes,Standard,261.4,0
G0239,None,0,5,76.6,16,No,Yes,Standard,475.0,0
G0240,Platinum,5,2,68.5,19,No,Yes,Standard,250.0,1
G0241,None,0,2,69.8,15,No,No,Standard,278.7,0
G0242,Silver,1,3,80.2,17,No,No,Standard,494.0,0
G0243,None,0,1,64.8,14,No,Yes,Deluxe,119.1,0
G0244,None,2,2,100.0,14,Yes,Yes,Standard,267.5,0
G0245,None,1,2,95.6,17,No,No,Standard,158.2,0
G0246,Gold,5,3,88.7,17,No,Yes,Standard,555.8,0
G0247,None,0,8,70.5,15,No,No,Standard,766.3,0
G0248,Gold,9,3,81.7,15,No,No,Standard,696.0,0
G0249,Gold,4,4,84.3,17,No,No,Deluxe,874.2,0
G0250,None,1,5,95.0,21,No,Yes,Deluxe,780.3,0
G0251,Silver,2,7,93.4,17,No,Yes,Deluxe,886.9,0
G0252,None,1,2,64.8,19,No,Yes,Deluxe,385.5,0
G0253,None,1,3,61.2,21,No,Yes,Standard,548.2,1
G0254,Gold,7,2,68.2,13,No,No,Deluxe,583.2,0
G0255,None,3,2,73.8,19,No,No,Standard,182.5,0
G0256,None,0,5,56.6,15,No,No,Standard,648.8,0
G0257,Platinum,9,2,100.0,19,No,No,Deluxe,656.3,0
G0258,None,1,2,56.4,12,No,No,Standard,304.9,0
G0259,None,1,3,100.0,15,No,No,Deluxe,283.4,0
G0260,None,0,4,69.9,14,No,Yes,Standard,472.5,1
G0261,None,1,2,74.9,16,No,Yes,Deluxe,468.5,0
G0262,None,1,3,88.2,14,No,No,Standard,353.5,1
G0263,None,1,2,77.3,12,No,Yes,Standard,77.9,0
G0264,Silver,2,3,60.5,22,No,Yes,Standard,480.6,0
G0265,Gold,3,2,100.0,15,No,Yes,Standard,323.3,0
G0266,None,0,3,83.6,16,No,Yes,Deluxe,536.7,0
G0267,None,0,1,82.0,21,No,Yes,Standard,60.0,0
G0268,None,0,4,100.0,16,No,No,Standard,258.4,0
G0269,Silver,0,4,75.8,20,No,Yes,Standard,351.2,0
G0270,None,0,2,73.0,13,No,No,Standard,193.9,0
G0271,Silver,0,4,66.6,18,No,No,Deluxe,598.3,0
G0272,None,0,2,93.6,22,No,Yes,Deluxe,419.7,1
G0273,None,1,3,40.8,13,Yes,No,Deluxe,453.4,0
G0274,Silver,3,1,89.8,17,Yes,Yes,Standard,332.1,0
G0275,Silver,2,5,56.2,18,No,Yes,Standard,728.6,1
G0276,None,1,2,70.5,20,No,No,Deluxe,499.8,0
G0277,Gold,2,4,69.8,12,Yes,Yes,Standard,458.4,1
G0278,None,0,3,93.5,19,No,No,Standard,473.2,0
G0279,Platinum,7,4,70.3,19,No,No,Standard,618.1,1
G0280,None,0,2,84.2,11,No,Yes,Standard,115.9,0
G0281,None,0,4,77.6,14,No,Yes,Standard,340.8,0
G0282,Gold,5,5,91.6,16,No,Yes,Deluxe,809.4,0
G0283,None,1,4,68.3,14,No,Yes,Standard,594.4,1
G0284,None,0,4,68.6,17,No,Yes,Standard,533.7,0
G0285,Gold,4,2,70.6,16,No,Yes,Standard,430.7,0
G0286,Silver,2,4,58.8,17,No,No,Deluxe,599.0,0
G0287,Gold,6,3,76.8,18,No,Yes,Standard,471.1,1
G0288,Silver,1,4,97.0,22,No,No,Deluxe,639.3,0
G0289,Platinum,13,1,80.9,22,No,Yes,Standard,712.2,1
G0290,None,0,3,79.3,19,Yes,Yes,Standard,326.9,0
G0291,Silver,1,5,76.4,13,No,No,Standard,572.4,1
G0292,Silver,4,4,79.1,10,No,Yes,Standard,643.5,0
G0293,None,0,5,59.9,20,Yes,Yes,Standard,541.9,0
G0294,None,0,2,88.8,18,No,Yes,Standard,424.7,0
G0295,None,0,3,74.8,14,No,Yes,Deluxe,427.8,0
G0296,Silver,5,3,73.4,20,No,Yes,Standard,639.8,0
G0297,Silver,2,4,84.1,22,No,Yes,Standard,498.6,0
G0298,None,0,4,87.7,21,No,Yes,Standard,435.7,0
G0299,Gold,6,1,79.3,19,No,No,Standard,403.6,0
G0300,Gold,4,3,71.1,17,No,Yes,Standard,657.2,1
G0301,None,0,4,82.8,17,No,Yes,Standard,374.2,1
G0302,Gold,3,2,95.2,15,No,Yes,Standard,231.5,0
G0303,Gold,11,3,83.0,19,No,Yes,Standard,554.1,1
G0304,Silver,3,4,77.2,12,No,No,Deluxe,1069.2,0
G0305,None,3,4,98.2,17,No,No,Standard,651.8,0
G0306,Silver,2,3,100.0,18,No,Yes,Standard,340.2,0
G0307,None,0,3,82.8,18,No,Yes,Standard,366.9,1
G0308,None,0,6,50.8,22,No,Yes,Deluxe,550.5,0
G0309,None,1,2,65.3,19,No,No,Standard,356.6,0
G0310,None,1,3,80.5,11,No,No,Standard,412.3,0
G0311,Platinum,7,4,77.0,12,Yes,Yes,Deluxe,618.0,0
G0312,Platinum,6,5,89.9,13,No,Yes,Standard,729.3,0
G0313,None,0,1,67.3,17,Yes,Yes,Standard,60.0,0
G0314,Gold,2,2,68.5,22,No,No,Deluxe,349.3,0
G0315,Silver,2,5,96.8,15,Yes,No,Standard,573.3,0
G0316,None,1,4,70.8,17,No,Yes,Standard,475.5,0
G0317,Silver,4,3,83.7,23,No,Yes,Standard,405.6,0
G0318,Silver,2,5,70.3,13,No,Yes,Deluxe,800.9,0
G0319,Platinum,3,2,81.2,18,No,No,Deluxe,301.8,0
G0320,Gold,4,4,83.7,15,Yes,Yes,Standard,497.8,0
G0321,Silver,1,4,47.0,18,No,Yes,Standard,497.7,0
G0322,None,0,2,97.9,18,No,No,Standard,161.4,0
G0323,Gold,4,3,73.4,15,No,Yes,Standard,540.0,1
G0324,Silver,3,5,100.0,22,Yes,Yes,Standard,768.9,0
G0325,Silver,1,2,100.0,20,No,Yes,Standard,198.3,0
G0326,Silver,1,2,99.1,17,No,Yes,Deluxe,259.5,0
G0327,None,0,2,74.2,16,No,Yes,Standard,118.4,0
G0328,None,0,3,67.8,20,No,No,Standard,226.2,0
G0329,None,0,1,73.9,18,No,Yes,Standard,197.1,1
G0330,Silver,3,3,84.8,16,Yes,No,Standard,436.5,1
G0331,None,2,4,69.2,20,No,Yes,Deluxe,612.3,1
G0332,None,0,5,81.9,14,No,Yes,Standard,461.5,0
G0333,Gold,3,2,85.6,16,No,No,Standard,642.6,0
G0334,Silver,1,1,75.2,18,No,Yes,Deluxe,405.2,0
G0335,None,1,4,77.7,18,No,Yes,Standard,452.7,0
G0336,Silver,2,6,35.0,13,No,Yes,Deluxe,1115.0,1
G0337,Gold,2,3,74.2,18,No,No,Standard,398.2,0
G0338,Silver,3,5,86.6,18,No,No,Standard,754.1,1
G0339,None,0,1,55.4,13,No,No,Standard,158.8,0
G0340,Gold,6,1,74.2,16,Yes,No,Standard,356.8,1
G0341,None,1,6,79.3,19,No,No,Standard,738.5,0
G0342,Gold,1,6,59.3,16,No,Yes,Deluxe,804.3,0
G0343,None,2,1,61.9,15,No,No,Standard,146.3,0
G0344,None,0,3,78.2,21,No,Yes,Standard,465.6,0
G0345,None,2,2,71.3,16,No,No,Deluxe,392.2,0
G0346,None,0,2,99.4,15,No,Yes,Standard,196.4,0
G0347,None,2,3,76.3,23,Yes,No,Standard,525.0,0
G0348,Silver,1,4,89.3,16,No,Yes,Standard,584.8,0
G0349,None,0,2,84.2,17,No,Yes,Standard,306.1,0
G0350,None,1,4,59.4,19,No,Yes,Deluxe,747.5,0
G0351,Silver,2,4,76.5,15,No,Yes,Standard,370.8,0
G0352,Platinum,6,5,62.2,14,No,Yes,Standard,609.9,1
G0353,None,0,3,69.4,12,No,Yes,Standard,362.7,0
G0354,Gold,5,3,74.0,15,No,No,Standard,396.2,0
G0355,None,1,2,73.7,10,No,Yes,Standard,383.6,0
G0356,None,2,4,63.9,15,No,Yes,Standard,583.9,0
G0357,Silver,1,8,59.5,18,No,Yes,Standard,684.0,0
G0358,None,0,2,75.7,23,No,Yes,Standard,234.8,0
G0359,Silver,0,2,74.8,18,No,No,Standard,275.1,0
G0360,Platinum,10,2,75.5,9,No,No,Deluxe,976.6,1
G0361,None,0,2,44.4,16,Yes,Yes,Deluxe,357.1,0
G0362,None,0,2,66.5,10,Yes,Yes,Standard,262.1,0
G0363,None,0,3,95.5,14,Yes,Yes,Deluxe,512.4,0
G0364,Silver,3,3,55.6,22,No,No,Deluxe,608.8,0
G0365,None,1,2,87.5,14,Yes,Yes,Standard,135.0,0
G0366,None,0,2,97.7,22,No,No,Standard,254.3,0
G0367,Gold,11,3,80.2,21,No,No,Standard,630.9,1
G0368,None,2,6,63.5,20,No,No,Standard,761.3,0
G0369,None,0,4,77.8,12,No,No,Standard,259.6,0
G0370,None,1,1,68.6,17,No,Yes,Standard,382.0,0
G0371,Gold,2,4,76.6,21,No,Yes,Standard,472.3,1
G0372,None,0,2,78.1,17,Yes,Yes,Deluxe,245.5,0
G0373,None,0,3,83.7,19,Yes,No,Standard,193.7,0
G0374,Gold,3,3,96.9,19,Yes,Yes,Standard,657.6,1
G0375,None,0,3,87.2,17,No,Yes,Standard,330.9,0
G0376,None,1,2,72.9,12,No,No,Standard,253.0,0
G0377,None,0,1,81.1,20,No,No,Standard,65.7,0
G0378,Platinum,13,4,78.1,18,No,Yes,Standard,939.4,1
G0379,Silver,3,4,81.8,16,Yes,Yes,Standard,585.4,0
G0380,None,1,2,90.1,20,No,Yes,Deluxe,417.1,0
G0381,None,1,3,80.9,23,No,Yes,Standard,274.5,0
G0382,None,2,1,80.7,18,No,No,Standard,60.0,0
G0383,None,2,4,83.3,17,No,Yes,Deluxe,450.2,0
G0384,Silver,4,4,73.3,19,No,Yes,Standard,682.4,1
G0385,Silver,1,5,78.5,19,No,Yes,Standard,738.2,0
G0386,Platinum,9,6,65.0,15,Yes,Yes,Deluxe,1255.1,1
G0387,None,1,2,42.5,16,No,No,Deluxe,535.9,0
G0388,None,0,2,69.9,23,No,Yes,Standard,206.9,0
G0389,Silver,0,1,75.0,15,Yes,Yes,Standard,60.0,0
G0390,Gold,6,3,95.8,19,No,Yes,Standard,656.6,0
G0391,Silver,3,5,93.0,13,No,Yes,Standard,851.5,0
G0392,Silver,1,3,60.1,21,No,Yes,Standard,397.8,0
G0393,None,0,2,82.3,16,No,Yes,Standard,111.7,0
G0394,Gold,5,5,76.6,17,No,Yes,Standard,648.4,0
G0395,Gold,2,1,87.7,17,No,No,Deluxe,253.6,0
G0396,None,0,5,83.9,18,Yes,No,Deluxe,622.1,0
G0397,None,0,2,81.4,22,Yes,Yes,Standard,404.6,0
G0398,Platinum,11,6,85.7,13,No,Yes,Standard,1084.2,1
G0399,None,0,3,81.4,16,No,Yes,Deluxe,509.7,0
G0400,Silver,2,4,69.7,19,No,Yes,Standard,630.5,1
G0401,None,0,2,99.4,17,No,Yes,Standard,201.1,0
G0402,Gold,3,4,100.0,12,No,Yes,Standard,355.5,0
G0403,None,2,3,86.8,18,No,Yes,Deluxe,528.5,1
G0404,None,0,4,92.8,15,No,Yes,Standard,269.4,1
G0405,Gold,5,3,64.6,19,No,Yes,Deluxe,940.8,1
G0406,None,0,4,87.4,17,No,No,Standard,539.5,0
G0407,None,0,3,79.1,18,No,Yes,Standard,246.5,0
G0408,Silver,3,1,90.5,14,No,Yes,Standard,251.3,0
G0409,Silver,2,1,74.4,14,No,Yes,Deluxe,345.4,0
G0410,None,1,1,92.0,17,Yes,No,Standard,60.0,0
G0411,None,1,3,96.1,17,No,No,Standard,353.2,0
G0412,Gold,5,1,73.3,18,Yes,Yes,Standard,60.0,0
G0413,None,1,2,79.8,13,Yes,No,Standard,60.0,0
G0414,Silver,0,2,76.2,16,No,Yes,Deluxe,364.1,0
G0415,Silver,1,3,67.1,18,Yes,No,Standard,60.0,0
G0416,None,1,3,84.0,14,Yes,Yes,Standard,195.3,0
