participant_id,group,pre_score,post_score,change_score
T0063,Control,74.4,77.3,2.9
T0064,Training,61.8,62.6,0.8
T0065,Control,68.7,67.9,-0.8
T0066,Control,53.3,58.5,5.2
T0067,Control,70.0,71.5,1.5
T0068,Training,69.9,78.6,8.7
T0069,Training,77.8,76.7,-1.1
T0070,Control,65.8,70.4,4.6
T0071,Control,67.5,64.4,-3.1
T0072,Control,50.9,51.7,0.8
T0073,Control,80.4,85.2,4.8
T0074,Control,64.1,72.4,8.3
T0075,Control,65.1,67.4,2.3
T0076,Control,38.8,46.1,7.3
T0077,Training,51.9,59.0,7.1
T0078,Control,62.0,65.5,3.5
T0079,Control,62.5,67.6,5.1
T0080,Control,73.1,73.5,0.4
T0081,Control,41.1,43.8,2.7
T0082,Control,74.7,74.3,-0.4
T0083,Control,71.6,72.4,0.8
T0084,Control,30.0,30.0,0.0
T0085,Control,63.4,65.8,2.4
T0086,Control,69.4,67.7,-1.7
T0087,Training,69.3,81.9,12.6
T0088,Control,57.2,54.5,-2.7
T0089,Training,68.8,72.7,3.9
T0090,Training,57.1,60.9,3.8
T0091,Training,66.5,70.2,3.7
T0092,Control,77.1,78.7,1.6
T0093,Control,63.3,68.9,5.6
T0094,Training,41.6,49.1,7.5
T0095,Control,57.2,58.4,1.2
T0096,Training,73.2,83.8,10.6
T0097,Training,60.4,62.6,2.2
T0098,Control,65.4,65.9,0.5
T0099,Control,58.2,67.2,9.0
T0100,Training,60.0,67.7,7.7
T0101,Training,48.3,61.3,13.0
T0102,Training,56.0,60.2,4.2
T0103,Control,70.2,73.2,3.0
T0104,Control,59.2,59.6,0.4
T0105,Training,55.8,64.0,8.2
T0106,Control,48.3,40.0,-8.3
T0107,Training,73.3,76.1,2.8
T0108,Control,61.6,58.7,-2.9
T0109,Control,72.1,72.7,0.6
T0110,Training,72.2,84.1,11.9
T0111,Control,64.6,65.5,0.9
T0112,Training,54.0,65.6,11.6
T0113,Control,60.0,58.0,-2.0
T0114,Training,67.5,75.5,8.0
T0115,Control,41.1,38.0,-3.1
T0116,Training,57.9,67.1,9.2
T0117,Control,75.6,75.8,0.2
T0118,Control,54.6,53.1,-1.5
T0119,Training,77.0,81.8,4.8
T0120,Control,63.6,63.0,-0.6
T0121,Training,66.6,77.6,11.0
T0122,Training,46.7,55.3,8.6
T0123,Control,60.7,66.1,5.4
T0124,Training,46.5,51.0,4.5
T0125,Training,72.4,78.8,6.4
T0126,Control,62.7,70.1,7.4
T0127,Control,85.1,81.2,-3.9
T0128,Control,66.3,71.0,4.7
T0129,Control,59.7,61.7,2.0
T0130,Training,61.6,71.0,9.4
T0131,Training,71.5,77.6,6.1
T0132,Control,82.9,84.8,1.9
T0133,Control,66.9,73.5,6.6
T0134,Training,59.6,68.1,8.5
T0135,Control,83.2,84.1,0.9
T0136,Training,49.4,54.8,5.4
T0137,Training,63.5,73.7,10.2
T0138,Training,57.5,66.8,9.3
T0139,Control,64.8,69.3,4.5
T0140,Training,58.3,67.5,9.2
T0141,Training,54.8,62.9,8.1
T0142,Control,61.1,66.7,5.6
T0143,Control,57.1,58.9,1.8
T0144,Control,58.7,60.5,1.8
T0145,Training,48.6,64.1,15.5
T0146,Control,42.6,46.5,3.9
T0147,Training,65.7,70.2,4.5
T0148,Training,55.1,54.2,-0.9
T0149,Control,61.8,63.4,1.6
T0150,Control,55.8,57.7,1.9
T0151,Training,54.5,61.0,6.5
T0152,Training,84.0,92.9,8.9
T0153,Control,71.4,73.1,1.7
T0154,Control,60.9,65.8,4.9
T0155,Training,65.3,69.2,3.9
T0156,Training,86.3,96.6,10.3
T0157,Control,52.7,54.0,1.3
T0158,Training,69.9,67.7,-2.2
T0159,Control,77.7,77.7,0.0
T0160,Control,85.0,95.0,10.0
T0161,Training,68.8,70.9,2.1
T0162,Control,56.6,56.5,-0.1
T0163,Control,58.9,58.2,-0.7
T0164,Control,75.9,73.6,-2.3
T0165,Training,63.8,72.8,9.0
T0166,Training,63.8,75.0,11.2
T0167,Training,63.0,71.9,8.9
T0168,Training,61.7,65.6,3.9
T0169,Control,68.9,69.2,0.3
T0170,Control,65.7,64.7,-1.0
T0171,Training,61.4,69.7,8.3
T0172,Control,58.2,60.4,2.2
T0173,Training,53.1,65.2,12.1
T0174,Training,75.3,85.8,10.5
T0175,Control,66.1,63.6,-2.5
T0176,Control,73.5,68.8,-4.7
T0177,Training,67.6,74.5,6.9
T0178,Training,64.2,70.2,6.0
T0179,Control,66.4,70.2,3.8
T0180,Training,53.9,59.2,5.3
T0181,Control,58.2,63.4,5.2
T0182,Training,62.6,68.4,5.8
T0183,Control,43.1,43.6,0.5
T0184,Training,73.7,78.0,4.3
T0185,Control,86.0,88.2,2.2
T0186,Training,40.4,52.1,11.7
T0187,Training,44.9,54.2,9.3
T0188,Training,55.3,67.2,11.9
T0189,Training,72.6,75.6,3.0
T0190,Training,56.0,68.1,12.1
T0191,Control,72.0,74.8,2.8
T0192,Control,56.9,62.1,5.2
T0193,Control,69.4,70.1,0.7
T0194,Training,60.5,68.9,8.4
T0195,Training,51.3,63.7,12.4
T0196,Control,76.7,76.8,0.1
T0197,Control,58.2,58.5,0.3
T0198,Control,50.1,53.4,3.3
T0199,Training,54.0,70.0,16.0
T0200,Control,65.1,64.3,-0.8
T0201,Training,75.4,83.6,8.2
T0202,Training,47.0,57.9,10.9
T0203,Training,60.5,64.7,4.2
T0204,Training,60.1,63.6,3.5
T0205,Training,71.2,78.1,6.9
T0206,Training,61.6,66.1,4.5
T0207,Control,55.1,55.6,0.5
T0208,Training,51.9,61.2,9.3
T0209,Control,58.0,64.5,6.5
T0210,Control,83.5,90.6,7.1
T0211,Control,61.0,63.0,2.0
T0212,Training,62.2,67.5,5.3
T0213,Control,56.3,55.9,-0.4
T0214,Control,68.0,73.1,5.1
T0215,Training,52.5,57.9,5.4
T0216,Training,67.8,71.1,3.3
T0217,Training,76.1,76.9,0.8
T0218,Training,65.3,73.3,8.0
T0219,Training,77.3,85.9,8.6
T0220,Training,57.1,59.0,1.9
