week,date,search_ads_k_eur,social_ads_k_eur,email_ads_k_eur,discount_pct,competitor_price_index,sales_k_eur
47,2023-11-20,40.0,34.5,10.3,7.3,105.2,277.7
48,2023-11-27,41.9,41.2,9.7,11.7,106.3,285.5
49,2023-12-04,41.5,44.8,15.7,6.3,97.9,302.0
50,2023-12-11,38.2,27.8,8.9,2.8,94.5,257.1
51,2023-12-18,34.7,34.0,14.0,6.4,97.4,294.8
52,2023-12-25,33.7,40.9,4.8,9.1,101.5,268.2
53,2024-01-01,44.5,38.2,11.7,7.3,95.5,298.9
54,2024-01-08,33.0,23.9,11.7,8.2,104.2,243.2
55,2024-01-15,46.3,35.6,8.9,7.4,94.6,295.0
56,2024-01-22,57.0,39.5,13.2,10.4,95.6,315.4
57,2024-01-29,45.2,45.9,9.2,7.5,88.8,309.3
58,2024-02-05,32.6,31.9,18.1,3.1,100.0,269.2
59,2024-02-12,29.7,37.9,12.6,0.6,93.4,260.4
60,2024-02-19,58.2,44.5,9.3,4.8,100.5,304.9
61,2024-02-26,46.2,28.4,13.8,3.1,101.4,280.5
62,2024-03-04,46.1,48.4,10.5,8.7,106.9,306.1
63,2024-03-11,38.2,16.6,11.5,11.9,100.0,278.4
64,2024-03-18,43.6,44.4,13.8,8.4,108.3,287.3
65,2024-03-25,52.4,46.0,10.0,8.6,101.9,298.2
66,2024-04-01,41.1,33.8,13.4,5.3,101.6,296.3
67,2024-04-08,59.1,59.2,6.0,8.1,97.1,349.2
68,2024-04-15,48.5,28.0,11.3,6.3,97.4,295.8
69,2024-04-22,44.9,29.5,13.9,6.9,100.5,265.4
70,2024-04-29,38.6,19.8,8.6,7.9,91.1,278.3
71,2024-05-06,54.7,44.1,15.3,5.2,93.8,317.9
72,2024-05-13,42.7,34.3,9.0,1.5,98.7,251.7
73,2024-05-20,38.9,38.4,17.1,15.2,99.2,310.0
74,2024-05-27,43.6,37.6,10.8,11.2,97.3,283.3
75,2024-06-03,29.5,25.5,9.6,13.5,97.9,269.8
76,2024-06-10,52.5,45.4,10.6,12.0,94.3,311.3
77,2024-06-17,45.9,40.8,16.4,8.4,100.0,282.2
78,2024-06-24,54.4,44.3,14.3,5.1,99.2,294.8
79,2024-07-01,45.7,26.0,8.4,7.6,99.4,269.8
80,2024-07-08,52.8,44.2,12.2,13.9,95.6,291.5
81,2024-07-15,47.7,37.7,9.7,5.0,102.8,260.5
82,2024-07-22,47.8,49.9,12.9,10.6,101.3,303.8
83,2024-07-29,44.3,34.4,11.9,8.1,107.0,283.4
84,2024-08-05,39.7,48.7,8.8,7.1,95.2,272.0
85,2024-08-12,40.7,43.0,17.0,6.7,104.6,270.4
86,2024-08-19,51.4,42.1,11.1,9.6,96.1,303.6
87,2024-08-26,43.8,41.5,8.6,3.7,101.7,267.8
88,2024-09-02,39.7,36.0,12.2,8.0,101.5,261.2
89,2024-09-09,54.1,42.8,10.3,10.5,96.7,303.4
90,2024-09-16,46.6,38.0,6.3,10.1,106.1,291.7
91,2024-09-23,50.6,37.0,8.1,11.8,92.2,285.3
92,2024-09-30,55.7,47.6,7.8,9.2,102.1,288.8
93,2024-10-07,40.7,29.6,12.8,7.6,96.2,287.4
94,2024-10-14,47.5,39.5,9.9,8.3,98.3,275.9
95,2024-10-21,56.2,51.6,16.1,8.5,101.6,288.6
96,2024-10-28,33.0,26.0,8.6,7.2,100.8,233.8
97,2024-11-04,56.2,42.5,7.6,9.6,102.9,311.0
98,2024-11-11,59.6,49.3,7.2,7.6,96.8,326.5
99,2024-11-18,50.1,48.7,5.2,8.8,97.9,302.4
100,2024-11-25,51.2,43.7,13.7,6.0,90.0,317.0
101,2024-12-02,60.9,51.9,15.8,10.5,95.6,365.3
102,2024-12-09,35.8,30.4,15.1,11.2,98.5,299.7
103,2024-12-16,38.9,44.2,16.9,8.1,92.2,318.4
104,2024-12-23,49.0,48.3,13.1,11.7,102.1,318.2
105,2024-12-30,52.8,42.3,11.4,9.6,103.9,331.9
106,2025-01-06,54.3,43.8,18.2,8.9,98.1,334.7
107,2025-01-13,57.7,42.6,13.7,11.8,94.6,332.8
108,2025-01-20,62.8,52.9,16.6,3.7,98.1,313.0
109,2025-01-27,62.6,54.3,5.0,9.3,99.4,352.7
110,2025-02-03,45.9,44.2,6.2,8.0,97.9,286.7
111,2025-02-10,54.3,35.8,10.9,9.8,95.3,316.0
112,2025-02-17,45.3,22.0,16.2,6.6,102.8,296.5
113,2025-02-24,53.1,42.0,16.0,1.4,103.2,319.7
114,2025-03-03,54.6,45.3,9.7,8.0,108.6,323.6
115,2025-03-10,51.9,47.1,10.5,8.9,103.0,318.3
116,2025-03-17,37.4,31.0,6.8,0.0,96.0,261.6
117,2025-03-24,61.4,42.3,9.7,5.1,108.9,318.8
118,2025-03-31,55.2,39.7,8.8,5.5,99.2,315.7
119,2025-04-07,54.0,42.2,10.4,6.5,100.7,306.1
120,2025-04-14,56.9,36.0,16.3,8.5,98.7,320.3
121,2025-04-21,50.1,38.6,14.7,7.6,95.2,420.0
122,2025-04-28,62.8,53.1,7.0,11.2,101.2,344.0
123,2025-05-05,59.0,60.7,9.6,4.9,94.8,334.2
124,2025-05-12,48.6,31.7,8.7,8.8,98.4,306.2
125,2025-05-19,57.6,42.9,7.0,9.6,100.5,325.4
126,2025-05-26,47.3,25.1,15.5,7.5,101.1,296.8
127,2025-06-02,51.5,37.6,10.2,7.2,95.4,303.0
128,2025-06-09,56.4,49.6,16.8,4.8,94.8,322.6
129,2025-06-16,56.2,40.8,3.9,11.3,95.8,309.6
130,2025-06-23,50.9,55.3,15.2,11.8,96.9,317.1
131,2025-06-30,50.1,38.5,13.5,2.3,99.3,300.8
132,2025-07-07,53.2,46.7,12.5,8.0,100.9,303.9
133,2025-07-14,73.6,56.4,13.8,9.4,111.5,331.7
134,2025-07-21,42.6,29.1,13.1,6.2,96.6,287.5
135,2025-07-28,53.6,41.5,16.7,2.2,97.6,293.7
136,2025-08-04,52.2,45.6,16.6,8.7,101.2,310.6
137,2025-08-11,62.2,43.8,9.0,6.4,103.4,298.7
138,2025-08-18,60.3,46.2,10.3,10.0,93.6,321.8
139,2025-08-25,38.8,34.7,8.3,7.3,94.0,266.1
140,2025-09-01,46.6,32.2,12.4,3.9,93.6,266.5
141,2025-09-08,53.5,45.4,15.7,6.0,98.6,310.3
142,2025-09-15,49.7,40.2,12.8,12.9,111.1,270.2
143,2025-09-22,63.4,50.4,11.9,15.2,97.2,343.3
144,2025-09-29,68.3,55.5,12.7,10.1,100.5,343.6
145,2025-10-06,43.7,43.9,14.1,10.6,100.0,288.0
146,2025-10-13,58.5,48.1,13.1,6.8,101.7,303.3
147,2025-10-20,60.9,54.6,10.4,12.1,95.6,346.3
148,2025-10-27,62.0,49.9,11.6,10.1,103.9,323.6
149,2025-11-03,58.7,66.8,11.4,5.9,100.2,362.2
150,2025-11-10,70.5,49.4,12.1,9.7,105.8,353.7
151,2025-11-17,47.1,30.6,10.7,4.3,93.8,311.4
152,2025-11-24,57.2,50.5,15.2,9.2,95.8,349.6
153,2025-12-01,59.3,42.0,9.9,4.7,101.1,314.1
154,2025-12-08,69.9,47.0,11.8,8.2,97.9,363.1
155,2025-12-15,57.4,50.7,13.7,3.6,100.6,340.3
156,2025-12-22,75.0,55.4,13.2,8.4,103.6,387.0
