employee_id,age,gender,department,remote_days,tenure_years,manager,training_group,leadership_1,leadership_2,leadership_3,leadership_4_reverse,engagement_1,engagement_2,engagement_3,engagement_4_reverse,role_clarity_1,role_clarity_2,role_clarity_3,role_clarity_4,workload,organizational_support,job_satisfaction,performance,burnout,turnover_intention
E010020,32,Man,Finance,2,2.3,No,Training,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,3.49,3.61,2.95,45.8,51.7,4.98
E010021,41,Man,Operations,3,2.1,No,Control,1.0,2.0,1.0,4.0,3.0,3.0,2.0,4.0,1.0,,4.0,1.0,4.37,2.57,2.19,42.5,47.0,4.89
E010022,43,Woman,Operations,0,0.9,No,Training,3.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4.14,4.91,5.36,60.9,36.1,2.63
E010023,52,Woman,HR,0,5.8,No,Control,5.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,3.37,5.35,5.08,55.3,38.1,1.0
E010024,47,Woman,Operations,4,8.3,Yes,Control,5.0,5.0,5.0,1.0,5.0,5.0,4.0,1.0,1.0,4.0,2.0,3.0,2.76,4.92,4.99,48.4,32.9,2.81
E010025,45,Woman,Operations,3,1.4,No,Control,4.0,3.0,5.0,3.0,5.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,1.83,4.07,5.96,48.9,29.2,1.85
E010026,31,Man,Operations,0,1.9,No,Control,2.0,2.0,2.0,3.0,1.0,2.0,1.0,5.0,2.0,2.0,3.0,1.0,5.94,2.99,3.02,31.0,72.1,4.86
E010027,43,Man,Marketing,3,10.4,No,Control,2.0,3.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,4.01,4.31,4.62,49.3,42.8,4.25
E010028,37,Man,Finance,1,4.0,No,Training,2.0,4.0,1.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,3.6,4.0,3.18,52.7,46.8,5.83
E010029,27,Woman,Operations,2,6.0,No,Control,3.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,5.27,4.11,3.49,41.3,57.7,3.4
E010030,45,Non-binary / prefer not to say,Operations,5,3.2,No,Control,4.0,,4.0,1.0,4.0,5.0,4.0,2.0,5.0,,4.0,4.0,3.82,2.13,4.34,61.9,50.1,5.23
E010031,47,Woman,Technology,3,3.9,Yes,Training,4.0,3.0,3.0,1.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,5.0,3.09,3.6,3.51,69.5,41.3,5.31
E010032,54,Woman,Technology,3,5.2,No,Training,5.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,5.0,4.73,5.82,3.93,55.5,37.5,5.33
E010033,30,Non-binary / prefer not to say,HR,0,17.3,No,Training,3.0,1.0,3.0,3.0,5.0,3.0,5.0,1.0,3.0,2.0,2.0,1.0,3.27,2.85,4.69,60.2,49.0,2.95
E010034,40,Woman,Finance,3,9.4,No,Control,5.0,2.0,3.0,1.0,3.0,3.0,4.0,4.0,1.0,2.0,2.0,3.0,4.41,4.32,3.01,48.1,45.7,5.12
E010035,30,Man,Finance,4,2.6,No,Training,4.0,4.0,5.0,2.0,3.0,4.0,4.0,1.0,4.0,4.0,2.0,3.0,3.3,3.27,5.48,46.7,33.1,2.48
E010036,30,Man,Technology,4,1.5,No,Training,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,3.0,5.02,3.33,2.77,33.0,58.5,4.59
E010037,29,Man,Operations,4,0.8,No,Training,3.0,2.0,1.0,5.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,5.17,2.23,2.42,51.1,54.6,5.37
E010038,38,Woman,Operations,2,5.3,No,Control,1.0,1.0,2.0,3.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,3.57,2.82,3.34,54.5,35.3,4.71
E010039,29,Man,Technology,4,7.3,No,Control,3.0,2.0,2.0,5.0,2.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.24,3.62,5.79,48.9,44.0,2.79
E010040,51,Woman,Technology,2,3.9,No,Control,2.0,4.0,3.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,3.87,3.83,5.62,55.6,39.4,2.34
E010041,54,Woman,Operations,3,6.3,No,Control,5.0,4.0,3.0,2.0,5.0,5.0,5.0,2.0,3.0,2.0,1.0,2.0,4.84,2.64,3.89,46.2,51.1,3.59
E010042,41,Man,Finance,4,3.9,No,Training,4.0,5.0,3.0,2.0,5.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,5.64,3.6,3.61,40.2,53.6,5.46
E010043,46,Man,Operations,0,4.4,Yes,Training,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.6,4.18,5.27,53.5,45.8,3.37
E010044,32,Man,Technology,2,5.2,No,Control,3.0,5.0,4.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,5.53,3.38,3.25,43.7,54.1,6.21
E010045,36,Woman,Operations,3,1.1,No,Training,2.0,1.0,2.0,1.0,4.0,5.0,3.0,1.0,2.0,4.0,3.0,5.0,4.27,4.62,4.45,55.9,39.4,2.7
E010046,48,Man,Technology,3,5.4,Yes,Training,3.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,2.0,4.0,2.0,3.0,3.9,2.54,3.22,50.9,48.5,5.46
E010047,48,Woman,HR,1,2.1,No,Control,3.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.77,3.81,4.44,50.6,50.2,3.41
E010048,29,Man,Operations,3,2.8,No,Training,2.0,3.0,1.0,5.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.45,3.38,3.71,62.5,34.6,5.21
E010049,32,Woman,Finance,1,6.1,Yes,Control,3.0,4.0,4.0,2.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,4.14,3.94,3.71,54.7,50.6,4.26
E010050,46,Man,Technology,2,7.2,Yes,Control,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,1.71,4.05,5.85,63.3,38.3,3.11
E010051,31,Woman,Marketing,3,0.7,No,Training,3.0,3.0,4.0,3.0,4.0,3.0,5.0,2.0,4.0,2.0,1.0,2.0,4.26,3.4,3.44,45.0,43.9,3.74
E010052,34,Man,HR,0,1.6,No,Training,3.0,1.0,1.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.51,3.61,4.92,43.0,35.3,3.4
E010053,40,Woman,Operations,3,4.1,No,Control,5.0,5.0,5.0,1.0,4.0,5.0,3.0,2.0,4.0,5.0,4.0,4.0,4.01,6.22,4.64,56.9,34.7,1.73
E010054,26,Woman,Marketing,0,0.5,No,Control,2.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,3.52,3.89,3.59,38.2,44.5,4.64
E010055,45,Woman,Marketing,4,2.1,No,Control,2.0,1.0,2.0,4.0,5.0,4.0,5.0,2.0,3.0,4.0,3.0,5.0,2.86,4.77,6.47,53.2,29.6,3.3
E010056,25,Woman,Marketing,3,3.8,No,Training,2.0,4.0,3.0,4.0,1.0,3.0,,3.0,2.0,2.0,2.0,1.0,4.35,2.88,3.21,55.6,59.3,4.98
E010057,32,Woman,Technology,4,2.8,No,Control,1.0,1.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,2.86,3.05,4.58,57.3,40.0,3.06
E010058,35,Man,HR,1,4.5,Yes,Training,4.0,3.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.1,4.7,5.05,62.9,49.3,4.06
E010059,33,Man,Marketing,5,6.3,No,Training,2.0,3.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,4.16,3.9,3.9,45.8,46.5,4.72
E010060,59,Woman,Marketing,3,2.5,Yes,Training,3.0,1.0,1.0,5.0,2.0,3.0,2.0,4.0,1.0,1.0,3.0,4.0,3.35,4.14,4.19,67.5,30.6,4.21
E010061,36,Man,Marketing,4,3.1,No,Training,1.0,2.0,1.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.6,3.19,4.49,52.6,49.1,4.32
E010062,34,Woman,Operations,5,6.2,No,Training,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,3.61,4.22,3.94,67.6,47.4,3.97
E010063,30,Man,Technology,3,5.2,No,Control,3.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,5.0,4.0,5.0,4.0,5.09,4.16,3.75,50.4,63.8,4.37
E010064,54,Woman,Marketing,2,6.5,No,Control,2.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,4.68,4.91,5.05,43.8,41.2,2.2
E010065,35,Woman,Finance,4,4.0,Yes,Control,5.0,5.0,5.0,1.0,5.0,4.0,5.0,1.0,4.0,4.0,5.0,4.0,3.45,4.65,4.4,56.8,34.9,3.7
E010066,28,Woman,Operations,0,10.2,No,Control,5.0,5.0,4.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,5.95,4.23,4.46,45.6,56.0,4.87
E010067,40,Woman,Operations,1,6.3,Yes,Training,5.0,4.0,5.0,1.0,4.0,5.0,5.0,2.0,1.0,3.0,1.0,2.0,3.21,6.0,5.21,84.6,42.6,2.52
E010068,41,Woman,Finance,2,12.5,No,Control,4.0,5.0,4.0,1.0,5.0,5.0,5.0,2.0,3.0,3.0,3.0,4.0,3.38,3.3,3.65,58.1,44.1,4.99
E010069,28,Man,Operations,4,3.3,Yes,Training,5.0,5.0,5.0,1.0,5.0,4.0,5.0,1.0,4.0,2.0,1.0,1.0,4.46,3.45,4.93,50.3,47.2,3.59
E010070,37,Man,Technology,3,2.0,No,Training,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,4.54,3.93,4.0,54.8,46.2,4.76
E010071,46,Woman,Finance,2,1.9,No,Training,2.0,,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,4.77,3.48,2.04,35.8,56.7,3.68
E010072,33,Man,Finance,1,4.8,Yes,Training,5.0,4.0,4.0,1.0,5.0,5.0,5.0,1.0,4.0,4.0,3.0,4.0,4.14,5.63,4.77,63.1,33.8,2.36
E010073,46,Woman,Finance,4,1.4,No,Training,4.0,5.0,2.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,5.0,5.0,4.11,6.99,5.33,58.6,28.7,4.36
E010074,36,Woman,Finance,0,7.5,No,Training,2.0,3.0,3.0,4.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,3.0,4.19,2.77,1.65,47.9,54.4,5.34
E010075,36,Man,Technology,2,10.1,Yes,Control,5.0,5.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,4.91,2.84,3.51,51.4,47.7,4.97
E010076,34,Man,Technology,3,3.1,No,Control,4.0,5.0,5.0,2.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,5.97,2.66,3.39,53.5,67.6,4.86
E010077,24,Man,Technology,3,9.3,No,Control,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,4.12,4.22,5.39,62.2,47.1,3.53
E010078,35,Woman,HR,1,9.5,No,Control,1.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0,2.0,2.0,3.56,4.09,4.31,49.7,47.9,3.54
E010079,33,Non-binary / prefer not to say,Marketing,2,5.0,Yes,Control,3.0,3.0,3.0,3.0,2.0,1.0,1.0,4.0,4.0,5.0,3.0,5.0,4.1,4.09,2.75,43.0,40.2,4.67
E010080,22,Woman,HR,3,2.1,No,Training,2.0,2.0,2.0,3.0,1.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.83,3.39,3.31,53.6,52.8,6.02
E010081,39,Woman,Technology,3,0.7,No,Training,1.0,5.0,3.0,3.0,5.0,4.0,4.0,2.0,4.0,2.0,5.0,2.0,4.39,5.72,5.12,64.0,47.7,2.54
E010082,39,Woman,Operations,2,9.2,Yes,Control,4.0,2.0,3.0,5.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,4.63,3.43,2.79,43.5,44.6,4.54
E010083,33,Man,Operations,0,2.6,No,Control,4.0,5.0,5.0,1.0,4.0,4.0,5.0,1.0,2.0,,1.0,2.0,3.38,4.67,4.51,55.5,45.2,3.05
E010084,34,Man,HR,1,1.4,Yes,Control,1.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,4.0,4.62,3.59,3.24,39.0,58.9,4.4
E010085,34,Woman,Finance,5,1.2,No,Training,2.0,3.0,5.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.95,1.9,3.96,57.3,57.4,4.76
E010086,47,Woman,Technology,0,4.2,No,Training,1.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.98,3.47,3.33,50.5,25.0,2.81
E010087,38,Woman,Marketing,2,11.7,Yes,Control,1.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,5.0,2.0,4.0,2.0,2.55,3.1,2.22,57.3,27.0,2.97
E010088,30,Man,Marketing,2,9.3,No,Control,4.0,3.0,4.0,3.0,5.0,5.0,5.0,2.0,2.0,3.0,1.0,3.0,4.13,5.46,3.74,51.4,47.3,3.21
E010089,25,Woman,Finance,3,3.5,Yes,Training,5.0,3.0,5.0,1.0,5.0,5.0,5.0,1.0,4.0,4.0,5.0,4.0,3.21,4.5,5.71,69.3,35.4,3.24
E010090,26,Woman,Marketing,2,2.1,Yes,Training,2.0,2.0,4.0,2.0,5.0,4.0,5.0,1.0,4.0,4.0,2.0,4.0,3.52,3.03,4.76,65.2,41.7,3.48
E010091,42,Man,HR,2,10.2,No,Control,3.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,4.0,4.6,5.35,2.42,38.2,47.5,6.33
E010092,26,Man,Finance,3,1.6,No,Control,5.0,5.0,5.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,3.95,6.2,4.92,50.6,38.0,2.72
E010093,35,Man,HR,3,3.8,Yes,Control,2.0,1.0,2.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,5.41,2.65,2.57,44.5,53.1,6.69
E010094,44,Man,HR,2,7.7,No,Control,5.0,3.0,3.0,3.0,4.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,3.8,5.15,4.81,62.1,34.5,4.46
E010095,41,Woman,HR,3,8.2,No,Control,4.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,5.11,4.62,5.13,49.7,44.0,3.69
E010096,41,Man,Operations,5,10.5,Yes,Control,5.0,5.0,4.0,1.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,5.0,5.02,5.06,3.91,48.3,44.4,3.81
E010097,39,Woman,Operations,2,1.4,Yes,Control,4.0,3.0,5.0,2.0,3.0,2.0,1.0,3.0,3.0,4.0,4.0,3.0,3.28,3.85,2.16,47.4,48.6,4.46
E010098,35,Woman,Finance,2,5.0,Yes,Training,1.0,1.0,1.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,2.53,3.85,4.96,36.0,46.2,3.79
E010099,50,Man,Marketing,5,8.7,No,Training,3.0,2.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,2.94,3.87,4.33,62.1,26.4,2.72
E010100,38,Man,HR,4,5.4,Yes,Training,4.0,5.0,5.0,1.0,5.0,5.0,4.0,2.0,5.0,5.0,3.0,5.0,2.4,4.55,4.63,63.7,40.6,3.21
E010101,44,Man,Technology,3,4.6,Yes,Training,3.0,3.0,4.0,4.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0,3.0,4.82,3.7,3.05,47.8,63.9,5.87
E010102,27,Man,HR,0,8.4,No,Control,3.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,5.0,4.0,3.0,2.0,3.17,3.9,4.9,50.0,36.5,4.29
E010103,34,Man,Finance,3,5.4,No,Training,4.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,1.0,4.93,3.75,3.96,41.4,54.4,3.78
E010104,41,Man,HR,4,4.5,No,Training,5.0,5.0,4.0,1.0,5.0,5.0,4.0,1.0,5.0,5.0,4.0,4.0,3.19,3.63,4.86,60.7,41.9,3.0
E010105,42,Woman,Technology,2,8.8,Yes,Training,5.0,5.0,5.0,1.0,3.0,5.0,3.0,1.0,5.0,5.0,2.0,4.0,2.78,3.72,5.85,66.3,34.2,2.11
E010106,27,Man,Technology,2,8.5,No,Training,1.0,3.0,3.0,5.0,4.0,5.0,2.0,2.0,3.0,5.0,3.0,5.0,3.68,3.78,3.54,54.7,38.5,3.36
E010107,40,Man,Operations,3,4.9,No,Training,2.0,1.0,3.0,5.0,2.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,2.52,4.08,3.31,61.7,39.7,4.01
E010108,35,Man,Marketing,1,5.0,No,Training,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,4.0,4.0,5.0,4.81,4.19,5.88,62.3,48.6,3.57
E010109,41,Woman,Marketing,3,4.8,No,Control,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,4.54,4.31,3.96,53.3,40.3,3.8
E010110,26,Man,Technology,1,1.7,No,Training,5.0,5.0,5.0,1.0,3.0,4.0,4.0,2.0,3.0,3.0,5.0,4.0,4.88,5.32,3.96,52.5,37.4,2.97
E010111,56,Woman,Technology,3,4.9,No,Control,3.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,1.0,3.0,3.0,1.8,3.77,4.08,50.1,21.0,3.71
E010112,42,Man,Technology,4,6.3,No,Training,2.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,5.0,4.0,4.0,5.0,5.06,3.85,3.15,58.8,62.7,4.81
E010113,50,Woman,Operations,2,4.7,No,Control,2.0,4.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,2.59,2.79,4.59,51.5,24.1,3.99
E010114,44,Woman,Operations,2,4.0,No,Training,3.0,4.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,5.37,3.87,3.43,51.4,54.5,5.43
E010115,37,Man,HR,2,2.9,No,Control,1.0,1.0,2.0,5.0,1.0,2.0,1.0,5.0,2.0,4.0,3.0,3.0,3.18,3.06,2.76,43.7,44.0,5.02
E010116,49,Man,Operations,4,2.6,No,Training,1.0,1.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.79,4.13,4.57,48.0,45.2,1.8
E010117,34,Woman,Operations,3,3.4,No,Control,1.0,1.0,1.0,5.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,3.0,3.79,3.62,4.44,46.6,43.9,2.57
E010118,42,Man,Operations,3,6.4,No,Training,4.0,1.0,1.0,3.0,1.0,5.0,3.0,4.0,1.0,3.0,2.0,1.0,3.59,4.44,4.61,51.4,40.7,3.2
E010119,29,Woman,Operations,2,4.0,Yes,Control,3.0,3.0,3.0,5.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,2.0,3.96,3.65,4.83,38.6,50.0,4.24
E010120,46,Woman,Technology,1,17.7,Yes,Training,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,,2.0,1.0,3.9,4.71,4.45,46.0,35.7,3.16
E010121,40,Woman,Finance,2,4.2,Yes,Training,5.0,4.0,3.0,1.0,4.0,5.0,5.0,1.0,4.0,5.0,2.0,3.0,4.9,3.35,4.02,63.2,63.3,4.35
E010122,47,Man,Technology,0,2.9,Yes,Control,3.0,2.0,3.0,5.0,4.0,2.0,,3.0,3.0,1.0,3.0,2.0,4.37,3.45,4.02,68.2,49.9,3.02
E010123,37,Man,Marketing,5,10.0,No,Training,5.0,3.0,4.0,1.0,5.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,3.05,5.05,4.98,46.8,32.7,3.65
E010124,37,Woman,Marketing,5,5.4,No,Control,2.0,2.0,1.0,5.0,3.0,4.0,2.0,4.0,2.0,4.0,5.0,5.0,3.75,3.72,4.01,47.0,48.2,4.9
E010125,39,Woman,Marketing,0,6.2,Yes,Training,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,2.7,5.88,4.7,60.9,34.8,1.97
E010126,31,Man,Marketing,4,0.5,No,Training,4.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,4.58,3.3,4.13,52.9,50.4,5.62
E010127,25,Woman,Finance,0,1.6,No,Control,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,4.76,5.47,5.35,59.1,31.2,2.69
E010128,22,Man,Marketing,3,4.7,No,Training,5.0,4.0,3.0,3.0,5.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,3.33,4.02,4.91,61.6,37.3,3.52
E010129,43,Man,Technology,1,10.1,Yes,Training,4.0,5.0,2.0,2.0,5.0,4.0,4.0,3.0,5.0,3.0,2.0,3.0,3.57,4.67,3.86,68.2,35.0,4.11
E010130,50,Man,Operations,4,11.2,No,Control,2.0,3.0,1.0,3.0,4.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,4.78,1.87,3.49,62.1,51.5,4.35
E010131,48,Man,Operations,3,5.8,No,Control,3.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,1.0,2.0,2.0,4.0,4.96,4.7,4.04,56.1,47.7,4.75
E010132,30,Man,Technology,3,4.4,No,Training,5.0,5.0,5.0,1.0,5.0,4.0,5.0,1.0,2.0,4.0,4.0,3.0,4.97,3.46,3.79,59.9,59.8,4.45
E010133,22,Woman,Finance,0,3.0,No,Control,1.0,3.0,3.0,2.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,4.59,3.74,2.6,42.5,56.3,4.71
E010134,39,Woman,Marketing,2,2.8,No,Training,3.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,5.48,4.11,3.34,40.4,46.7,7.0
E010135,44,Man,HR,0,3.2,Yes,Training,2.0,5.0,1.0,1.0,4.0,4.0,5.0,3.0,3.0,4.0,2.0,4.0,3.48,4.37,4.57,71.1,49.1,3.87
E010136,38,Man,HR,2,4.3,No,Training,2.0,3.0,4.0,2.0,3.0,2.0,5.0,4.0,3.0,5.0,4.0,4.0,3.02,4.32,4.29,58.9,36.6,2.57
E010137,25,Woman,Operations,3,5.8,No,Control,3.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0,5.0,5.0,4.0,5.0,3.91,4.78,4.32,50.5,31.9,2.49
E010138,44,Man,Operations,2,4.3,No,Training,3.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,5.78,4.47,4.22,40.9,62.0,5.44
E010139,30,Man,Operations,1,13.2,Yes,Control,5.0,5.0,5.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,5.78,3.45,2.95,32.4,65.8,4.5
E010140,43,Woman,Operations,3,4.7,No,Control,2.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,1.0,2.39,3.13,4.09,49.5,34.5,2.89
